ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2000;ABR;ASFALTO;EXPORTAÇÃO;1362,035577;309443
2000;AGO;ASFALTO;EXPORTAÇÃO;2700,793269;544917
2000;DEZ;ASFALTO;EXPORTAÇÃO;1839,723077;426760
2000;FEV;ASFALTO;EXPORTAÇÃO;1676,491346;270633
2000;JAN;ASFALTO;EXPORTAÇÃO;1702,567308;360648
2000;JUL;ASFALTO;EXPORTAÇÃO;1566,573077;406048
2000;JUN;ASFALTO;EXPORTAÇÃO;2170,703846;488515
2000;MAI;ASFALTO;EXPORTAÇÃO;695,9826923;132424
2000;MAR;ASFALTO;EXPORTAÇÃO;2086,160577;406910
2000;NOV;ASFALTO;EXPORTAÇÃO;1987,686538;506260
2000;OUT;ASFALTO;EXPORTAÇÃO;1608,242308;361626
2000;SET;ASFALTO;EXPORTAÇÃO;3151,931731;649676
2000;ABR;ASFALTO;IMPORTAÇÃO;511,9201923;111153
2000;AGO;ASFALTO;IMPORTAÇÃO;36,57403846;30588
2000;DEZ;ASFALTO;IMPORTAÇÃO;34,37788462;19653
2000;FEV;ASFALTO;IMPORTAÇÃO;50,27019231;40334
2000;JAN;ASFALTO;IMPORTAÇÃO;6,265384615;2250
2000;JUL;ASFALTO;IMPORTAÇÃO;42,54423077;20955
2000;JUN;ASFALTO;IMPORTAÇÃO;115,9269231;17715
2000;MAI;ASFALTO;IMPORTAÇÃO;218,9875;63576
2000;MAR;ASFALTO;IMPORTAÇÃO;149,1519231;22737
2000;NOV;ASFALTO;IMPORTAÇÃO;25,15096154;14551
2000;OUT;ASFALTO;IMPORTAÇÃO;81,00769231;55193
2000;SET;ASFALTO;IMPORTAÇÃO;130,9326923;36752
2000;ABR;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;100455,9099;25582261
2000;AGO;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;69460,8811;18594401
2000;DEZ;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;182523,0763;51828609
2000;FEV;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;238963,8736;50028233
2000;JAN;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;86865,19024;18285038
2000;JUL;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;146371,0438;35263384
2000;JUN;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;298613,4452;65291665
2000;MAI;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;339791,2203;67563509
2000;MAR;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;66587,67835;16562486
2000;NOV;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;109663,0313;31111638
2000;OUT;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;79918,23029;21773741
2000;SET;COMBUSTÍVEIS PARA AERONAVES;EXPORTAÇÃO;174161,9224;45863511
2000;ABR;COMBUSTÍVEIS PARA NAVIOS;EXPORTAÇÃO;219418,8203;38249455
